,R,F,M,T,D
1,0,13,3250,28,1
2,1,16,4000,35,1
3,2,20,5000,45,1
4,1,24,6000,77,0
5,4,4,1000,4,0
6,2,7,1750,14,1
7,1,12,3000,35,0
8,2,9,2250,22,1
9,5,46,11500,98,1
10,0,3,750,4,0
11,2,10,2500,28,1
12,1,13,3250,47,0
13,2,6,1500,15,1
14,2,5,1250,11,1
15,2,14,3500,48,1
16,2,15,3750,49,1
17,2,6,1500,15,1
18,2,3,750,4,1
19,2,6,1500,16,1
20,2,6,1500,16,1
21,9,9,2250,16,0
22,4,14,3500,40,0
23,4,6,1500,14,0
24,4,12,3000,34,1
25,4,5,1250,11,1
26,4,8,2000,21,0
27,1,14,3500,58,0
28,4,10,2500,28,1
29,4,10,2500,28,1
30,4,9,2250,26,1
31,2,16,4000,64,0
32,2,8,2000,28,1
33,2,12,3000,47,1
34,4,6,1500,16,1
35,2,14,3500,57,1
36,2,5,1250,16,0
37,2,5,1250,16,1
38,2,5,1250,16,0
39,4,9,2250,28,1
40,2,9,2250,36,0
41,2,2,500,2,0
42,2,2,500,2,0
43,2,6,1500,22,0
44,4,5,1250,14,1
45,4,19,4750,69,1
46,4,8,2000,26,1
47,2,7,1750,28,1
48,2,16,4000,81,0
49,3,6,1500,21,0
50,2,8,2000,35,1
51,4,5,1250,16,1
52,2,3,750,9,1
53,3,16,4000,74,0
54,0,2,500,4,0
55,1,9,2250,51,0
56,2,4,1000,16,0
57,2,4,1000,16,0
58,4,17,4250,71,1
59,2,2,500,4,0
60,2,2,500,4,1
61,2,2,500,4,1
62,2,4,1000,16,1
63,2,2,500,4,0
64,2,2,500,4,0
65,2,2,500,4,0
66,4,6,1500,23,1
67,2,4,1000,16,0
68,2,4,1000,16,0
69,2,4,1000,16,0
70,2,6,1500,28,1
71,2,6,1500,28,0
72,4,2,500,4,0
73,2,7,1750,35,1
74,4,2,500,4,1
75,4,2,500,4,0
76,4,2,500,4,0
77,4,2,500,4,0
78,12,11,2750,23,0
79,4,9,2250,38,1
80,4,4,1000,14,1
81,5,7,1750,26,1
82,4,9,2250,40,0
83,2,5,1250,26,0
84,2,5,1250,26,0
85,6,17,4250,70,0
86,0,8,2000,59,0
87,3,5,1250,26,0
88,2,3,750,14,0
89,2,10,2500,64,0
90,4,5,1250,23,1
91,4,9,2250,46,0
92,4,5,1250,23,0
93,11,24,6000,64,0
94,2,7,1750,46,1
95,4,11,2750,61,0
96,1,7,1750,57,0
97,2,11,2750,79,1
98,2,3,750,16,1
99,4,5,1250,26,1
100,2,6,1500,41,1
101,2,4,1000,26,0
102,2,5,1250,34,0
103,4,8,2000,46,1
104,2,4,1000,26,0
105,4,8,2000,48,1
106,2,2,500,10,1
107,2,12,3000,95,0
108,4,6,1500,35,0
109,2,11,2750,88,0
110,2,3,750,19,0
111,2,5,1250,37,0
112,9,5,1250,19,0
113,5,14,3500,86,0
114,4,3,750,16,0
115,4,3,750,16,0
116,4,2,500,9,1
117,4,3,750,16,1
118,6,3,750,14,0
119,2,2,500,11,0
120,2,2,500,11,1
121,2,2,500,11,0
122,4,6,1500,39,0
123,2,1,250,2,1
124,2,1,250,2,0
125,2,1,250,2,0
126,2,1,250,2,0
127,2,1,250,2,0
128,2,1,250,2,0
129,2,1,250,2,0
130,2,1,250,2,1
131,2,1,250,2,1
132,2,1,250,2,0
133,2,1,250,2,0
134,2,1,250,2,0
135,2,1,250,2,0
136,2,1,250,2,0
137,2,1,250,2,0
138,2,1,250,2,0
139,2,1,250,2,0
140,11,10,2500,35,0
141,11,4,1000,16,1
142,4,5,1250,33,1
143,4,6,1500,41,1
144,2,4,1000,35,0
145,4,12,3000,88,0
146,13,8,2000,26,0
147,4,5,1250,34,0
148,4,4,1000,26,0
149,4,5,1250,35,1
150,4,7,1750,52,0
151,4,7,1750,52,0
152,11,11,2750,42,0
153,2,5,1250,47,1
154,9,8,2000,38,1
155,4,6,1500,47,0
156,11,7,1750,29,0
157,9,9,2250,45,0
158,4,7,1750,58,0
159,6,2,500,11,1
160,4,7,1750,58,0
161,11,9,2250,38,0
162,11,6,1500,26,0
163,2,2,500,16,0
164,2,7,1750,76,0
